中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
0.41,0.006588497,27,0.001771463,0.026092879,0.025969005,0.010847131,0.007703565,1.224342793,0.000305217,0.000235222,0.005087,0.005529915,0
11.18,0.008425118,28,0.022643349,0.012193212,0.008940626,0.008759893,0.00128353,1.08494218,0.000742923,-0.000735967,0.005375309,0.003967747,0
22.34,0.008254318,29,0.040279331,0.011653867,0.005171468,0.010354617,-0.006913925,1.100213422,0.000398253,-0.001341445,0.004495144,0.004525292,0
18.31,0.006640045,32,0.026501153,0.010380573,-0.00504392,0.011707469,0.005669391,0.896204554,-0.003311258,0.000952478,0.003726485,0.006217936,1
8.71,0.006104055,29,0.040365561,0.013039033,0.010497599,0.01642293,-0.008332734,0.986298665,0.00284167,-7.28E-05,0.004956029,0.006492442,0
23.92,0.004919222,28,0.029083078,0.016446401,-0.009410199,0.01775203,0.010941568,1.167175328,-0.007048534,0.001963058,0.006996555,0.010719214,1
9.5,0.004883005,26,0.006124186,0.018383597,0.015594576,0.007522018,0.00682918,0.852937279,-0.000184844,0.000471826,0.002280984,0.002785987,1
11.57,0.004496813,30,0.018171888,0.00973978,0.006454343,0.008442593,0.004633503,0.886767979,-0.001567068,0.000171513,0.008442593,0.013091949,0
21.16,0.00376267,25,0.007937842,0.01115986,0.005139173,0.017838394,0.017796148,0.914819633,-0.000785233,-0.000199676,0.00507324,0.007013783,0
10.6,0.006445428,22,0.019204828,0.018301536,0.015317305,0.009777804,0.001125529,0.979937106,0.00392722,0.000646077,0.002821923,0.005229925,0
32.6,0.008279233,24,0.05104197,0.009808519,0.000758614,0.019533526,-0.011034666,1.189066592,-0.000545551,-0.000246004,0.004500613,0.004852917,2
20.35,0.006378167,27,0.027165776,0.023664118,-0.017539601,0.015218409,0.01454047,1.073653352,0.000241951,-0.001863567,0.003705777,0.002548577,1
2.1,0.008369848,33,0.032588724,0.02304495,0.02244072,0.023085643,-0.016441879,0.913907524,-0.007893549,0.001425813,0.008014287,0.009415239,2
29.19,0.007734928,25,0.048317232,0.023105918,-0.014504307,0.009857408,0.008461282,1.22957711,-0.001300688,-0.000854588,0.003527166,0.002930338,2
